index,mean_intensity,edge_density,texture_variance,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,E_x
0,0.404251,0.045273,15660.1104,62.015625,0.984379,0.709125,0.967567,1930.512
1,0.499435,0.029251,16256.2293,60.860432,0.98467,0.696351,0.969332,2258.3637
2,0.049728,0.032867,3072.7876,137.954366,0.965251,0.933596,0.633542,1183.5244
3,0.090439,0.016129,5348.9343,35.385386,0.991087,0.908991,0.945934,1132.0702
4,0.177933,0.060257,9511.381,236.44977,0.940441,0.806647,0.79688,1550.7166
5,0.048904,0.033813,3024.4933,139.291958,0.964914,0.9343,0.623523,1121.5695
6,0.032562,0.028839,2048.4146,23.286259,0.994134,0.964941,0.906956,1040.4008
7,0.23175,0.041855,11577.194,74.661949,0.981193,0.790721,0.947204,1324.8625
8,0.147766,0.026611,8188.6821,62.745221,0.984195,0.855961,0.93721,1237.619
9,0.348969,0.023056,14772.9964,64.204412,0.983828,0.727832,0.964396,1859.4604
10,0.149826,0.015823,8282.7678,38.121369,0.990398,0.857925,0.962253,1262.9003
11,0.23613,0.100327,11728.7216,123.544853,0.96888,0.780483,0.9137,1363.7065
12,0.197235,0.04126,10295.6306,128.834421,0.967548,0.8075,0.897452,1446.4742
13,0.128708,0.036331,7292.0443,81.593107,0.979448,0.86919,0.908378,1184.3355
14,0.197372,0.01149,10301.0367,27.116636,0.99317,0.821956,0.978488,1433.1319
15,0.285339,0.013214,13259.9505,33.075,0.991669,0.764595,0.979532,1584.1542
16,0.299088,0.102982,13631.4624,434.109375,0.890653,0.69549,0.738888,2544.1689
17,0.327713,0.041931,14326.1255,136.920772,0.965511,0.725176,0.921741,1948.2312
18,0.144058,0.007339,8017.9372,15.625506,0.996064,0.866066,0.983997,1208.3615
19,0.431442,0.110718,15950.6219,85.180285,0.978544,0.698787,0.956263,1873.1333
20,0.381897,0.023376,15349.2602,55.753263,0.985956,0.716894,0.970252,2031.6021
21,0.097488,0.038574,5721.1866,111.749724,0.971851,0.892342,0.840353,1185.1291
22,0.133896,0.065414,7540.8042,179.723713,0.95473,0.851025,0.80526,1238.1013
23,0.365311,0.062012,15076.6174,149.992693,0.962218,0.707243,0.918456,1870.4672
24,0.030029,0.022812,1894.0182,64.630009,0.98372,0.962084,0.721053,1036.9176
25,0.111679,0.021072,6450.9261,45.478125,0.988545,0.889734,0.941849,1192.3537
26,0.195633,0.019348,10232.3788,45.842923,0.988453,0.821254,0.96323,1324.6014
27,0.305557,0.022018,13797.7859,45.052528,0.988652,0.751216,0.973257,1629.6813
28,0.027069,0.014389,1712.5216,32.710202,0.991761,0.968996,0.844129,1032.3315
29,0.018982,0.021759,1210.8708,64.326011,0.983797,0.973106,0.5634,1030.2299
30,0.301788,0.043442,13701.5565,84.26829,0.978774,0.746822,0.949626,1610.2695
31,0.076904,0.006851,4616.1264,11.430331,0.997121,0.924943,0.979663,1093.2986
32,0.431534,0.018463,15951.4376,45.478125,0.988545,0.705591,0.976654,2454.6445
33,0.407043,0.015915,15694.3742,32.649403,0.991776,0.713674,0.982951,1851.6683
34,0.458252,0.026459,16142.918,55.570864,0.986002,0.699793,0.971799,2046.2181
35,0.091782,0.021683,5420.3378,58.002849,0.98539,0.90504,0.91223,1161.2491
36,0.041458,0.013626,2584.0515,30.643015,0.992281,0.955281,0.903223,1058.4107
37,0.422821,0.104935,15868.9227,422.739844,0.893516,0.645674,0.781713,3125.7543
38,0.448456,0.127899,16083.4914,372.762546,0.906105,0.648242,0.810145,2365.6731
39,0.32518,0.018112,14268.9551,56.17886,0.985849,0.740683,0.967642,2615.4141
40,0.164017,0.018433,8915.9184,46.572518,0.988269,0.845832,0.957014,1334.7528
41,0.479904,0.023544,16229.9902,35.142188,0.991148,0.701396,0.982266,2207.4114
42,0.148438,0.028793,8219.4077,72.959559,0.981622,0.853801,0.927337,1242.7997
43,0.441635,0.063736,16034.7451,75.330744,0.981025,0.698841,0.961502,1958.2155
44,0.045349,0.012604,2815.0999,31.859007,0.991975,0.951383,0.907639,1066.3689
45,0.219711,0.063553,11147.772,252.257675,0.936459,0.773086,0.814606,1736.8449
46,0.321518,0.025818,14184.8237,75.756342,0.980918,0.737751,0.956323,2101.0267
47,0.171432,0.024429,9236.3717,59.948438,0.9849,0.838015,0.946601,1315.7682
48,0.270203,0.082169,12822.486,169.570175,0.957287,0.751553,0.891638,1392.3829
49,0.4534,0.087433,16115.0422,228.363419,0.942478,0.67081,0.883949,2264.544
50,0.318314,0.026672,14109.7781,62.80602,0.98418,0.742108,0.963514,1622.9465
51,0.048264,0.011887,2986.87,30.339017,0.992358,0.949046,0.916665,1077.2629
52,0.359985,0.028381,14981.4933,71.378768,0.98202,0.722306,0.960956,2029.3307
53,0.319763,0.081909,14143.8927,322.724449,0.918709,0.699982,0.813217,2239.8851
54,0.325775,0.01207,14282.4617,27.299035,0.993124,0.744647,0.984321,1635.9426
55,0.033813,0.030182,2124.3749,123.788051,0.968819,0.951448,0.51668,1108.5526
56,0.399612,0.011322,15600.9498,25.961443,0.993461,0.716846,0.986362,1946.1875
57,0.048248,0.011765,2985.9736,27.238235,0.993139,0.949211,0.925553,1071.1084
58,0.425949,0.017029,15899.6831,39.884559,0.989954,0.70793,0.979445,1992.4732
59,0.048248,0.009842,2985.9736,23.468658,0.994088,0.949967,0.935507,1079.0325
60,0.173416,0.007172,9320.8773,19.455882,0.995099,0.841658,0.982904,1351.892
61,0.42305,0.033386,15871.2166,87.065074,0.978069,0.700235,0.955068,2026.2787
62,0.328156,0.01561,14336.0275,37.270175,0.990612,0.742016,0.978664,1840.4554
63,0.153778,0.030746,8461.7279,75.148346,0.981071,0.849397,0.927164,1270.3266
64,0.240509,0.079086,11877.7551,259.371232,0.934667,0.757342,0.821134,1672.5418
65,0.389923,0.035385,15468.347,112.722518,0.971606,0.704766,0.940298,2488.7888
66,0.104172,0.010803,6068.1329,21.279871,0.99464,0.898544,0.971373,1123.9016
67,0.148148,0.097183,8206.147,332.39159,0.916274,0.819177,0.667954,1334.2739
68,0.232697,0.026428,11610.1394,98.860202,0.975098,0.786379,0.930292,1730.9868
69,0.099716,0.057922,5837.4808,41.100551,0.989647,0.900053,0.94236,1129.5712
70,0.382858,0.037094,15363.965,90.95625,0.977089,0.710645,0.951509,1922.6512
71,0.143005,0.019241,7969.1281,47.727711,0.987978,0.862055,0.950914,1238.1746
72,0.442307,0.012878,16039.8118,36.722978,0.99075,0.70505,0.98126,3616.0183
73,0.202103,0.023453,10485.7478,51.25409,0.98709,0.815044,0.960014,1327.1117
74,0.407425,0.023636,15698.9764,56.422059,0.985788,0.709325,0.970558,1968.3108
75,0.453476,0.026962,16115.5042,63.170818,0.984088,0.699054,0.967889,2326.1681
76,0.397324,0.025482,15570.7277,61.650827,0.984471,0.711477,0.967539,1956.6898
77,0.299026,0.015289,13629.8674,30.764614,0.992251,0.757724,0.981464,1705.5335
78,0.397491,0.109344,15572.9672,459.158824,0.884343,0.646739,0.758698,3469.4702
79,0.041733,0.020645,2600.4253,60.313235,0.984808,0.951185,0.810717,1068.4605
80,0.03009,0.008438,1897.7484,22.374265,0.994364,0.967369,0.903787,1049.9326
81,0.455765,0.012207,16129.012,22.921461,0.994226,0.705909,0.988355,2026.2235
82,0.478683,0.008728,16226.703,31.129412,0.992159,0.70236,0.984279,4718.5471
83,0.497696,0.118256,16255.9048,59.218842,0.985083,0.696644,0.970159,2081.9827
84,0.487946,0.025085,16246.8012,69.554779,0.98248,0.69507,0.964927,3137.4507
85,0.146027,0.021042,8108.8022,61.894026,0.98441,0.856991,0.937676,1299.3874
86,0.175339,0.036942,9402.2944,88.402665,0.977732,0.82971,0.923144,1302.8162
87,0.407425,0.019852,15698.9764,50.402895,0.987304,0.709978,0.973729,2206.392
88,0.048264,0.01004,2986.87,2.431985,0.999387,0.952662,0.993327,1068.2666
89,0.335648,0.014679,14499.8131,46.754917,0.988223,0.736634,0.973571,1905.1732
90,0.041733,0.009644,2600.4253,15.868704,0.996003,0.956977,0.950155,1057.4805
91,0.042313,0.023178,2634.9602,67.305193,0.983047,0.949808,0.791146,1074.7222
92,0.355042,0.016434,14889.8819,59.097243,0.985114,0.727212,0.967383,3168.9166
93,0.097046,0.059387,5698.0102,44.444531,0.988805,0.902183,0.936009,1125.7948
94,0.453201,0.020538,16113.8375,38.668566,0.99026,0.703575,0.980331,2481.3282
95,0.235428,0.032547,11704.6028,117.708088,0.970351,0.781802,0.917622,2014.5826
96,0.389816,0.057022,15466.8172,127.37523,0.967916,0.702202,0.932557,1944.8823
97,0.263184,0.03772,12609.5173,95.333824,0.975986,0.767666,0.937973,1507.6852
98,0.492599,0.012634,16252.6887,36.175781,0.990888,0.700791,0.981766,4346.6745
99,0.194153,0.024292,10173.6496,75.391544,0.98101,0.817523,0.939317,1502.2564
100,0.388733,0.057617,15451.2167,217.966682,0.945097,0.687337,0.884547,2980.7338
101,0.295212,0.076324,13529.2179,104.514568,0.973674,0.747202,0.936708,1536.2688
102,0.286362,0.021317,13288.4228,67.426792,0.983016,0.758481,0.958363,1800.131
103,0.041321,0.00737,2575.8608,21.219072,0.994655,0.957293,0.931698,1076.8241
104,0.409866,0.038391,15727.9818,44.809329,0.988713,0.710514,0.976674,1747.5996
105,0.285919,0.027802,13276.1157,87.551471,0.977947,0.754876,0.946012,1640.5809
106,0.228104,0.011337,11449.1057,34.047794,0.991424,0.799215,0.975681,1540.068
107,0.388733,0.034714,15451.2167,105.061765,0.973536,0.706705,0.944249,2079.7772
108,0.441238,0.019272,16031.7235,43.471737,0.98905,0.704303,0.977789,2059.8658
109,0.275803,0.012741,12987.8029,31.798208,0.99199,0.77015,0.979917,1565.1333
110,0.362946,0.025696,15034.8256,60.678033,0.984716,0.72251,0.966975,2121.1788
111,0.045303,0.016403,2812.3931,29.062224,0.99268,0.951791,0.915666,1065.656
112,0.354996,0.021637,14889.0188,56.422059,0.985788,0.726621,0.968962,1790.9431
113,0.304642,0.020142,13774.5802,55.266866,0.986079,0.750342,0.967101,1732.6432
114,0.188889,0.039673,9962.4585,103.724173,0.973873,0.81747,0.914678,1340.8032
115,0.293503,0.025635,13483.5131,58.489246,0.985267,0.754961,0.964534,1776.1459
116,0.123276,0.0168,7027.8269,40.918153,0.989693,0.87979,0.952219,1203.5268
117,0.149185,0.061111,8253.5558,176.258134,0.955602,0.83917,0.824719,1322.3387
118,0.448792,0.028976,16085.7343,38.06057,0.990413,0.704127,0.980616,1881.378
119,0.151581,0.012955,8362.4795,18.969485,0.995222,0.859814,0.981328,1210.6445
120,0.294113,0.027573,13499.8798,66.393199,0.983276,0.753858,0.959716,1559.7007
121,0.199738,0.023972,10393.756,75.330744,0.981025,0.813281,0.94068,1541.3438
122,0.240082,0.072113,11863.325,109.682537,0.972372,0.779752,0.924312,1327.4479
123,0.047546,0.012497,2944.7045,45.417325,0.98856,0.9479,0.873101,1134.8385
124,0.149597,0.036346,8272.341,125.125643,0.968482,0.846177,0.875615,1327.7868
125,0.049255,0.028488,3045.0739,120.018474,0.969769,0.936409,0.677669,1206.1478
126,0.366089,0.019119,15090.2092,53.990074,0.9864,0.723091,0.970666,2505.5989
127,0.285919,0.035004,13276.1157,123.544853,0.96888,0.749193,0.92381,2424.1853
128,0.281403,0.008057,13149.0415,22.617463,0.994303,0.767425,0.985943,1655.8318
129,0.340668,0.016891,14605.475,49.430101,0.987549,0.733691,0.972287,2331.5437
130,0.091736,0.049744,5417.9074,198.753998,0.949936,0.886223,0.700213,1287.3335
131,0.364212,0.060837,15057.2949,47.91011,0.987932,0.724655,0.973926,1636.7818
132,0.476044,0.108078,16218.9319,452.106066,0.886119,0.632564,0.771692,4134.0121
133,0.072769,0.048386,4387.4847,154.735064,0.961024,0.909558,0.711726,1136.2821
134,0.477081,0.015686,16222.0945,45.721324,0.988483,0.699756,0.976913,4118.1055
135,0.095566,0.042618,5620.3042,57.212454,0.985589,0.901556,0.916672,1121.2055
136,0.147766,0.028717,8188.6821,70.649173,0.982204,0.854962,0.92924,1244.889
137,0.129868,0.02243,7347.9532,64.751608,0.98369,0.870631,0.927798,1259.1021
138,0.172104,0.020523,9265.0309,37.695772,0.990505,0.839488,0.966775,1269.8392
139,0.034805,0.007828,2184.4426,13.740717,0.996539,0.963903,0.948667,1043.7626
140,0.328766,0.016083,14349.6437,41.890947,0.989448,0.740209,0.976102,2725.1371
141,0.249725,0.026321,12183.2528,52.348483,0.986814,0.782221,0.964839,1366.5309
142,0.151077,0.022766,8339.6467,48.457307,0.987794,0.855337,0.952372,1231.5235
143,0.153152,0.017059,8433.5336,49.004504,0.987656,0.854166,0.952182,1290.0248
144,0.093857,0.033356,5530.2274,42.255744,0.989356,0.905115,0.93746,1110.6355
145,0.156677,0.107498,8591.7199,303.937362,0.923441,0.815794,0.709676,1249.4978
146,0.021729,0.007462,1382.1966,11.065533,0.997213,0.977008,0.93467,1024.8194
147,0.350464,0.017975,14802.2224,59.58364,0.984992,0.727805,0.967043,2022.8796
148,0.041916,0.01091,2611.3358,22.739062,0.994272,0.956074,0.928587,1053.3042
149,0.097488,0.029282,5721.1866,48.03171,0.987901,0.901208,0.931189,1122.0351
150,0.487946,0.009842,16246.8012,17.753493,0.995528,0.704152,0.991049,2045.9868
151,0.384552,0.055573,15389.5812,187.202068,0.952846,0.693869,0.90041,2305.2385
152,0.151581,0.048279,8362.4795,102.933778,0.974072,0.847294,0.899021,1197.9961
153,0.199722,0.01561,10393.1601,42.377344,0.989326,0.81877,0.966535,1409.2346
154,0.449905,0.01004,16093.0718,14.409513,0.99637,0.708198,0.992663,1871.0582
155,0.336136,0.026505,14510.2341,72.71636,0.981684,0.731872,0.958956,1746.4289
156,0.406021,0.070282,15681.9472,107.43295,0.972939,0.700943,0.943882,1683.9742
157,0.357025,0.014359,14927.0214,35.993382,0.990934,0.729847,0.980214,2249.451
158,0.219437,0.079834,11137.7554,151.877482,0.961744,0.787941,0.888225,1347.2713
159,0.237747,0.01535,11784.0558,31.129412,0.992159,0.794069,0.978314,1381.5049
160,0.219452,0.016708,11138.3121,48.274908,0.98784,0.802767,0.964596,1452.8588
161,0.138458,0.032654,7756.6739,116.735294,0.970596,0.855625,0.877123,1345.7544
162,0.148407,0.012695,8218.0123,29.305423,0.992618,0.859703,0.970883,1248.7856
163,0.048264,0.027405,2986.87,79.40432,0.979999,0.94267,0.781991,1085.6522
