index,mean_intensity,edge_density,texture_variance,glcm_contrast_d1,glcm_homogeneity_d1,glcm_energy_d1,glcm_correlation_d1,glcm_contrast_d2,glcm_homogeneity_d2,glcm_energy_d2,glcm_correlation_d2,glcm_contrast_d4,glcm_homogeneity_d4,glcm_energy_d4,glcm_correlation_d4,glcm_contrast_d8,glcm_homogeneity_d8,glcm_energy_d8,glcm_correlation_d8,phase_fraction,fft_energy_ratio,run_length_mean,E_x
0,0.404251,0.045273,15660.1104,62.015625,0.984379,0.709125,0.967567,123.726055,0.968835,0.698521,0.935308,245.601562,0.938136,0.678134,0.87164,482.246503,0.878527,0.641026,0.748099,0.404251,0.940761,51.3605,1930.512
1,0.499435,0.029251,16256.2293,60.860432,0.98467,0.696351,0.969332,121.833846,0.969311,0.68575,0.938606,244.186523,0.938492,0.665044,0.876948,487.622858,0.877173,0.626343,0.75425,0.499435,0.972097,52.1368,2258.3637
2,0.049728,0.032867,3072.7876,137.954366,0.965251,0.933596,0.633542,252.457308,0.936409,0.919405,0.331385,363.357422,0.908474,0.906205,0.042624,391.66118,0.901345,0.902401,-0.020155,0.049728,0.552746,25.9549,1183.5244
3,0.090439,0.016129,5348.9343,35.385386,0.991087,0.908991,0.945934,70.500046,0.982242,0.904037,0.892523,139.658203,0.964822,0.894466,0.788004,264.441627,0.93339,0.877917,0.601216,0.090439,0.911331,78.2053,1132.0702
4,0.177933,0.060257,9511.381,236.44977,0.940441,0.806647,0.79688,447.721072,0.887224,0.778472,0.616184,753.231445,0.810269,0.742515,0.356484,979.059177,0.753386,0.71941,0.168381,0.177933,0.781433,15.8109,1550.7166
5,0.048904,0.033813,3024.4933,139.291958,0.964914,0.9343,0.623523,244.644316,0.938377,0.921274,0.340162,333.333984,0.916037,0.910667,0.104211,377.595136,0.904888,0.905227,-0.006964,0.048904,0.530771,25.7307,1121.5695
6,0.032562,0.028839,2048.4146,23.286259,0.994134,0.964941,0.906956,45.474056,0.988546,0.96207,0.818412,85.825195,0.978382,0.956952,0.657233,145.849247,0.963262,0.949538,0.416527,0.032562,0.4227,102.5603,1040.4008
7,0.23175,0.041855,11577.194,74.661949,0.981193,0.790721,0.947204,149.240357,0.962408,0.779282,0.894535,296.358398,0.925351,0.757504,0.7909,570.393712,0.856324,0.720016,0.59915,0.23175,0.902711,44.1617,1324.8625
8,0.147766,0.026611,8188.6821,62.745221,0.984195,0.855961,0.93721,125.007874,0.968512,0.847252,0.874847,247.631836,0.937624,0.830631,0.751974,471.306247,0.881283,0.80197,0.529153,0.147766,0.910421,50.882,1237.619
9,0.348969,0.023056,14772.9964,64.204412,0.983828,0.727832,0.964396,127.571512,0.967866,0.717336,0.929253,252.123047,0.936493,0.697257,0.860188,492.311539,0.875992,0.660984,0.727055,0.348969,0.966703,49.9512,1859.4604
10,0.149826,0.015823,8282.7678,38.121369,0.990398,0.857925,0.962253,76.176673,0.980812,0.85266,0.924481,150.916992,0.961986,0.84243,0.850142,297.700006,0.925013,0.823038,0.7038,0.149826,0.947629,74.2197,1262.9003
11,0.23613,0.100327,11728.7216,123.544853,0.96888,0.780483,0.9137,245.987174,0.938038,0.762366,0.828157,483.635742,0.878177,0.729652,0.662084,886.660897,0.77666,0.682883,0.379765,0.23613,0.730705,28.6434,1363.7065
12,0.197235,0.04126,10295.6306,128.834421,0.967548,0.8075,0.897452,255.204063,0.935717,0.789699,0.796656,495.386719,0.875217,0.758437,0.604441,866.780888,0.781667,0.718025,0.303933,0.197235,0.894048,27.5941,1446.4742
13,0.128708,0.036331,7292.0443,81.593107,0.979448,0.86919,0.908378,161.875431,0.959225,0.858132,0.81832,314.692383,0.920732,0.837961,0.647329,558.95333,0.859206,0.808987,0.372818,0.128708,0.85436,41.0113,1184.3355
14,0.197372,0.01149,10301.0367,27.116636,0.99317,0.821956,0.978488,54.38575,0.986301,0.817385,0.95696,109.511719,0.972415,0.80824,0.913754,221.368274,0.94424,0.790072,0.827389,0.197372,0.971788,93.3561,1433.1319
15,0.285339,0.013214,13259.9505,33.075,0.991669,0.764595,0.979532,65.922121,0.983395,0.759782,0.959131,130.737305,0.967069,0.750479,0.918653,253.876465,0.936051,0.733446,0.840956,0.285339,0.976529,81.92,1584.1542
